QueryVars,ProjVars,JoinVars,LonelyNonResultVars,min_cardinality_of_var_in_TP,No.TPs,TP_sizes,QueryRuntime
"['n', 'k', 'o', 'g', 'i', 'f', 'u', 'h', 'm', 's', 'b', 'q', 'p', 't', 'd', 'v', 'j', 'r', 'e', 'c', 'x']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]","[0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1]","[11, 80, 48, 75, 29, 87, 34, 95, 11, 55, 69, 90, 42, 46, 47, 92, 58, 74, 47, 34, 41]",6,"[48, 89, 39, 63, 14, 3]",0.637151426345227
"['b', 'i', 'c', 'k', 'q', 'u', 'r', 'l', 'x', 'o', 's', 'f', 'p', 'v', 'd', 'a', 'e', 'm', 'n', 'h', 'g', 'j', 't']","[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0]","[0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[91, 55, 40, 98, 73, 44, 89, 56, 69, 71, 60, 40, 41, 13, 60, 6, 15, 95, 94, 88, 51, 83, 84]",9,"[78, 85, 98, 12, 80, 9, 89, 95, 74]",9.425873642500102
"['v', 'r', 's', 'b', 'c', 'x', 'f', 'm', 'p', 'o', 'k', 'd', 'u', 'g', 'j', 'y', 't', 'l', 'h']","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]","[1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1]","[71, 91, 67, 95, 21, 19, 67, 89, 34, 2, 9, 47, 45, 24, 74, 68, 44, 9, 71]",9,"[18, 2, 73, 77, 96, 90, 71, 81, 64]",6.029407577557474
"['d', 'v', 'n', 'y', 'q', 'u', 'j', 'w', 'i', 'p', 'o', 'e', 'a', 'b']","[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0]","[0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]","[79, 34, 63, 45, 47, 56, 72, 76, 28, 13, 58, 98, 38, 98]",1,[6],6.269032046354814
"['d', 'k', 'x', 'g', 'f', 'n', 'm', 'h', 'p', 'r', 'j', 'l', 'b', 'q', 'o', 'w']","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0]","[48, 26, 85, 49, 68, 2, 97, 95, 69, 74, 45, 31, 22, 74, 72, 23]",5,"[33, 17, 58, 35, 85]",3.485644645300766
"['g', 'p']","[1, 1]","[1, 1]","[0, 0]","[78, 77]",3,"[72, 89, 94]",7.658822621622004
"['s', 'p', 'k', 'a', 'q', 'v', 'd', 'm', 'o', 'u', 'c', 'j', 'r', 'e']","[1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1]","[1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0]","[8, 24, 14, 34, 92, 52, 25, 74, 9, 86, 25, 83, 41, 64]",4,"[92, 39, 57, 54]",4.5322903779013775
"['k', 'r', 'g', 'l', 's', 'o', 'w', 'b', 'i', 't', 'd', 'p', 'v']","[0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0]","[52, 9, 31, 36, 61, 16, 59, 30, 33, 39, 27, 29, 43]",6,"[25, 19, 75, 16, 25, 14]",0.7547260067841134
"['x', 'j', 'q', 'd', 's', 'o', 't', 'f', 'p', 'w', 'k', 'g', 'a', 'v', 'c', 'b', 'r', 'u', 'h', 'm']","[0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[80, 22, 41, 19, 80, 69, 47, 96, 56, 96, 13, 26, 22, 68, 72, 39, 1, 33, 14, 51]",1,[68],4.728288927833244
"['v', 'o', 'y', 'i', 'q', 't', 'n', 'a', 'e', 'm']","[0, 1, 0, 1, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]","[89, 19, 89, 10, 37, 4, 73, 45, 18, 40]",2,"[39, 96]",1.8800221046088026
"['j', 'l', 'x', 'n', 't', 'w', 'r', 'a', 'o', 'g', 'b', 'u', 'c', 'p', 'y']","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0]","[86, 38, 14, 48, 77, 91, 89, 17, 76, 22, 7, 50, 23, 99, 73]",2,"[27, 72]",6.30159794483839
"['t', 'v', 'j', 'u', 'l', 'o', 'i', 'k', 's', 'a', 'p', 'f', 'w', 'c', 'x', 'h', 'd', 'q', 'm', 'r', 'b', 'g', 'e', 'n', 'y']","[0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0]","[1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1]","[95, 2, 62, 78, 11, 39, 57, 43, 27, 5, 100, 74, 10, 54, 82, 9, 17, 40, 8, 30, 58, 35, 79, 33, 48]",1,[64],5.319593736751143
"['v', 'e', 'i', 'o', 'j', 'd', 'k', 'y', 'x', 'w', 'a', 'r', 'b', 'f', 'q', 't', 'l', 's', 'p', 'm', 'n', 'c', 'g', 'u', 'h']","[1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1]","[1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0]","[47, 99, 14, 36, 15, 70, 76, 80, 74, 61, 21, 95, 81, 39, 72, 30, 13, 22, 3, 69, 77, 70, 36, 46, 13]",4,"[5, 92, 97, 22]",4.167565010792823
"['u', 'h', 'y', 'o', 'f', 'k', 'e', 'l', 't', 'r', 'q', 'm', 'd', 'a', 'b']","[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]","[1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 82, 94, 25, 23, 47, 3, 29, 27, 12, 39, 63, 16, 16, 12]",3,"[52, 6, 93]",5.207661218904079
"['t', 'l']","[1, 0]","[0, 0]","[1, 1]","[66, 64]",9,"[61, 50, 80, 54, 1, 25, 85, 11, 94]",6.0423580798412
"['l', 'c', 'o', 'h', 'u', 'e', 'k', 'j', 'i', 'p']","[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]","[0, 1, 1, 0, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]","[51, 36, 63, 85, 70, 53, 66, 28, 21, 26]",9,"[61, 89, 93, 30, 85, 78, 49, 57, 47]",9.166547819634285
"['x', 'c', 'h', 'q', 'j']","[1, 1, 0, 1, 0]","[0, 1, 0, 0, 0]","[1, 1, 0, 0, 0]","[73, 3, 7, 60, 8]",5,"[39, 79, 65, 52, 31]",8.277594729863143
"['j', 'n', 's', 'i', 'l', 'e', 'g', 'a', 'q', 'p', 'x', 'm', 'u']","[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1]","[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1]","[61, 72, 54, 4, 88, 15, 47, 95, 32, 87, 51, 64, 45]",1,[86],3.9319764663269368
"['n', 'x']","[1, 1]","[1, 1]","[0, 0]","[84, 9]",8,"[90, 27, 68, 63, 22, 45, 36, 93]",2.980594220334736
"['v', 'g', 's', 'x', 'm', 'p', 'w', 'q', 'b', 'i', 'n', 'y', 'u', 'j', 'f', 'h', 'r', 'a', 'd', 't', 'l', 'c', 'e', 'o']","[0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0]","[1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1]","[45, 71, 1, 95, 52, 2, 96, 15, 93, 46, 100, 22, 73, 75, 36, 33, 51, 46, 78, 56, 91, 92, 74, 46]",7,"[72, 68, 83, 54, 92, 88, 8]",9.319638563932738
"['m', 'p']","[1, 1]","[1, 0]","[1, 0]","[10, 83]",4,"[98, 26, 55, 92]",3.234446258715916
"['k', 'w', 'x', 'h', 'f', 'r', 'e', 'c', 'o', 'm', 'v', 'u', 'q', 'g', 'd', 'b', 't', 'l', 'p', 'n']","[1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0]","[6, 15, 3, 32, 69, 57, 91, 23, 89, 19, 72, 83, 5, 29, 49, 79, 15, 60, 45, 32]",5,"[57, 98, 57, 18, 98]",9.376827642188314
"['c', 'o', 'n', 'd', 'r', 'i', 'j']","[0, 1, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0]","[1, 1, 0, 1, 1, 1, 1]","[61, 58, 41, 18, 48, 6, 30]",5,"[59, 35, 54, 43, 13]",7.804345664837797
"['u', 'e']","[1, 0]","[0, 0]","[0, 1]","[46, 10]",7,"[3, 43, 24, 72, 38, 8, 47]",3.75231875213363
"['v', 'e', 'd', 'y', 'k', 'c', 't', 's', 'u', 'm', 'i', 'a', 'f', 'h', 'w', 'j', 'o', 'p', 'b', 'r']","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0]","[0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]","[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0]","[100, 83, 78, 85, 94, 63, 18, 56, 34, 96, 18, 98, 92, 54, 74, 58, 27, 94, 79, 88]",7,"[72, 73, 97, 52, 12, 47, 25]",7.4605002484316545
"['d', 'b', 'v']","[0, 1, 1]","[0, 0, 0]","[0, 0, 1]","[4, 62, 94]",2,"[95, 10]",0.608334867286716
"['q', 'b', 't']","[1, 0, 0]","[0, 1, 1]","[0, 1, 0]","[40, 51, 75]",1,[66],0.14974045079275475
"['f', 'r', 'n', 'b']","[1, 1, 1, 0]","[1, 1, 0, 1]","[1, 1, 1, 1]","[89, 59, 21, 11]",9,"[8, 57, 89, 7, 37, 47, 30, 3, 12]",4.259135762969485
"['e', 'q']","[0, 1]","[1, 1]","[1, 0]","[33, 76]",5,"[91, 99, 35, 55, 94]",7.415381585896091
"['x', 'i']","[0, 1]","[1, 1]","[0, 1]","[72, 45]",1,[17],9.997518171236461
"['s', 'a', 'c', 'o', 'f', 't', 'p', 'e', 'k', 'h', 'd', 'l', 'w', 'j', 'y', 'q', 'b', 'm', 'r', 'u', 'n', 'v', 'x']","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]","[1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[99, 26, 56, 98, 88, 12, 77, 2, 34, 43, 73, 76, 28, 20, 18, 29, 74, 28, 13, 52, 74, 11, 50]",5,"[43, 93, 32, 39, 95]",7.970586024802991
"['x', 'v', 'g', 'm', 'c', 'y']","[0, 0, 0, 0, 1, 0]","[1, 1, 1, 0, 1, 1]","[0, 1, 0, 0, 0, 0]","[36, 39, 70, 68, 51, 85]",2,"[29, 87]",9.66210746551612
"['e', 'n', 'h', 'o', 'f', 'd', 'g', 'u', 'x', 'r', 'v', 'y', 'a', 'p', 's', 'm', 'k', 'w', 'q', 'i', 'j', 'b', 't']","[0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]","[0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]","[70, 59, 19, 15, 29, 70, 35, 82, 88, 4, 43, 34, 7, 76, 91, 37, 48, 94, 69, 15, 32, 1, 100]",3,"[78, 90, 60]",2.372678746269967
"['c', 'w', 'q', 'n', 'r', 'k', 'i', 'm', 's', 'v', 'a', 'f', 'o', 'j', 'p', 'g', 'y', 'x', 'u', 'l', 'e', 'b']","[0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0]","[35, 14, 99, 67, 98, 75, 22, 50, 26, 78, 99, 49, 7, 68, 25, 53, 1, 84, 34, 8, 85, 35]",10,"[33, 76, 46, 24, 52, 100, 59, 62, 81, 14]",1.3677405688730957
"['f', 'x', 'b', 'p', 'd', 'v', 'e', 't', 'k', 'i', 's', 'r', 'm', 'c', 'y', 'g', 'a', 'n', 'w']","[0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0]","[31, 70, 69, 35, 88, 25, 41, 79, 55, 60, 55, 63, 8, 62, 53, 27, 60, 55, 51]",1,[78],7.171646515247602
"['f', 'y', 'p', 'u', 'b', 'o']","[1, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 1, 1]","[1, 0, 0, 0, 1, 0]","[10, 32, 11, 100, 20, 50]",3,"[71, 54, 12]",4.214643533138662
"['x', 'i', 'l', 'f', 'p', 'c', 'g', 's']","[0, 0, 0, 0, 0, 1, 1, 0]","[1, 0, 1, 1, 0, 0, 1, 1]","[0, 0, 1, 1, 1, 1, 0, 0]","[62, 35, 18, 62, 66, 78, 44, 14]",5,"[94, 46, 90, 67, 85]",9.580761548362059
"['i', 's', 'c', 'v', 'w', 'o']","[1, 0, 1, 1, 0, 1]","[0, 0, 1, 1, 1, 1]","[1, 0, 1, 0, 0, 1]","[9, 82, 78, 27, 42, 100]",9,"[74, 16, 2, 9, 34, 14, 56, 4, 51]",8.657256506213692
"['l', 'p', 's', 'o', 'k', 'f', 'e', 'q', 'm', 'j', 'v', 'n']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1]","[1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[84, 50, 61, 81, 45, 49, 2, 28, 43, 9, 99, 96]",3,"[45, 11, 39]",5.6372956123615126
"['a', 'i']","[1, 0]","[1, 1]","[1, 1]","[85, 77]",9,"[55, 17, 38, 51, 43, 88, 70, 45, 77]",9.839692726824039
"['j', 'k', 'f', 'r', 'e', 'h', 'y', 'w', 'c', 'v', 'p']","[1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1]","[1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1]","[2, 17, 77, 3, 15, 71, 77, 16, 89, 73, 6]",4,"[91, 42, 24, 34]",2.6617647835012397
"['y', 'd', 'm', 'l', 'w', 'b', 'q', 'r', 'p', 'e', 'g', 'i', 'u']","[1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0]","[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1]","[56, 18, 1, 12, 21, 94, 50, 57, 44, 60, 91, 32, 2]",4,"[32, 60, 55, 37]",3.876485892339337
"['j', 'w', 's', 'q', 'd', 't', 'o', 'i', 'b', 'n', 'v', 'r', 'l', 'k', 'p', 'u', 'g', 'e', 'a']","[1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1]","[66, 25, 16, 62, 84, 51, 22, 74, 69, 14, 92, 21, 31, 23, 48, 83, 94, 47, 52]",9,"[49, 95, 48, 34, 89, 38, 22, 85, 24]",6.830464927359944
['j'],[1],[1],[1],[61],9,"[99, 66, 16, 40, 1, 36, 9, 13, 64]",1.9433186752273444
"['v', 'i', 'g', 'j', 'f', 'q', 'p', 'b', 'o', 'h', 'e', 's', 'c', 'm', 'r']","[1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1]","[0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]","[12, 83, 5, 16, 69, 73, 54, 63, 7, 15, 79, 89, 67, 51, 84]",8,"[87, 12, 27, 7, 74, 2, 84, 55]",4.076250896425918
"['m', 's', 'd', 'q', 'k', 'j', 'w', 'r', 'a', 't']","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1]","[1, 1, 0, 1, 1, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]","[62, 31, 96, 5, 35, 54, 9, 79, 8, 75]",10,"[76, 51, 13, 76, 19, 19, 37, 14, 86, 47]",4.211702484284739
"['l', 'y', 'f']","[1, 1, 0]","[0, 1, 1]","[0, 0, 1]","[50, 68, 69]",9,"[83, 7, 24, 63, 49, 65, 45, 70, 87]",8.329080412598502
"['n', 'm', 'x', 'i', 'd', 'o', 'w', 's', 'k', 'p', 'b', 'c']","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0]","[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0]","[1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1]","[92, 96, 96, 2, 50, 96, 30, 72, 82, 75, 58, 19]",10,"[75, 84, 47, 94, 19, 99, 61, 16, 29, 2]",4.838248685562437
"['a', 'g', 'n']","[0, 0, 1]","[1, 0, 1]","[0, 0, 0]","[64, 43, 95]",3,"[72, 43, 69]",4.482617541100019
"['f', 'p', 'v', 'g', 'l', 'i', 'm', 'c']","[0, 1, 0, 1, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 1, 0, 1]","[0, 1, 1, 1, 1, 0, 1, 1]","[96, 34, 1, 27, 55, 61, 76, 15]",1,[39],5.208161508244078
"['g', 't', 'a', 'b', 'h', 'x', 'r', 'p', 'e', 'y', 'c', 'i', 'q']","[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]","[0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1]","[0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1]","[71, 6, 88, 79, 80, 3, 4, 21, 90, 78, 62, 82, 35]",8,"[20, 65, 5, 31, 89, 8, 23, 45]",6.072033240351266
"['l', 'a', 'd', 's', 'm', 'f', 'r', 'i', 'o', 'v', 'b', 'y', 'n']","[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1]","[0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]","[29, 97, 56, 49, 14, 83, 80, 20, 49, 97, 44, 96, 34]",2,"[68, 9]",4.8970985088198224
"['m', 'e', 'q', 'i', 's', 'x', 'u', 'p', 'c', 'w', 'b', 'v', 'l', 'r', 'g', 'y', 'n']","[1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1]","[1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]","[0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1]","[8, 25, 9, 28, 100, 8, 85, 29, 77, 39, 41, 30, 32, 77, 49, 4, 64]",9,"[30, 83, 94, 36, 16, 82, 68, 42, 14]",4.511722110060263
"['o', 'a', 'q', 's', 't', 'x', 'u', 'w', 'j', 'r', 'e', 'd', 'n', 'v', 'f', 'g', 'p', 'k', 'h', 'm', 'b', 'c', 'y', 'l', 'i']","[0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1]","[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[77, 71, 85, 42, 69, 61, 22, 43, 4, 10, 39, 20, 6, 8, 45, 36, 88, 3, 9, 85, 72, 40, 14, 43, 7]",5,"[99, 7, 56, 21, 15]",1.4079982752342606
"['c', 'u', 's', 'n', 'l', 'q', 'e', 'd', 'b', 'y', 'm', 'g', 't', 'w', 'r', 'f', 'i', 'x', 'o', 'p']","[0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1]","[62, 11, 16, 29, 95, 2, 29, 82, 26, 20, 40, 35, 51, 23, 11, 11, 72, 10, 36, 22]",10,"[10, 94, 22, 3, 3, 5, 83, 48, 92, 44]",3.854982250132733
"['k', 'w', 'a', 'o', 's', 'e', 'v', 'r', 'y', 'd', 'i', 'h', 'f', 'u']","[0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0]","[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1]","[5, 66, 73, 41, 71, 72, 1, 86, 5, 47, 83, 36, 61, 2]",1,[78],9.469440355180469
"['o', 'q', 'x', 'f', 'k', 'u', 'n', 'v', 'l', 'e', 'b', 'd', 'p', 'y']","[0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0]","[1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1]","[1, 36, 82, 1, 81, 23, 100, 99, 66, 14, 40, 68, 55, 88]",10,"[30, 96, 19, 52, 60, 49, 94, 41, 35, 100]",9.98944044145944
"['a', 'o', 'q', 's', 'j', 'w', 'f', 'p', 'i', 'x', 'g', 'd', 'n', 'v', 'u', 'm', 'y', 'r', 'c', 'l', 'b', 'e', 'k']","[1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0]","[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1]","[1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[25, 52, 93, 54, 91, 58, 91, 100, 22, 22, 14, 90, 90, 44, 42, 39, 85, 34, 33, 35, 65, 84, 2]",9,"[34, 95, 44, 41, 77, 62, 84, 78, 63]",3.0288877479121408
"['c', 'o', 'm', 'n', 'l', 'f', 'w', 't', 'p', 'y', 'v', 'e', 'h', 'g', 'b', 'r', 'a', 'd', 'u']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]","[0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1]","[0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1]","[21, 26, 23, 84, 36, 12, 8, 55, 77, 7, 49, 19, 88, 61, 65, 44, 18, 100, 67]",10,"[35, 13, 36, 67, 30, 31, 6, 3, 97, 8]",4.824825210712688
"['e', 'f', 'c', 'u']","[1, 0, 1, 1]","[0, 1, 0, 0]","[1, 0, 1, 0]","[9, 10, 76, 28]",5,"[44, 80, 77, 80, 12]",7.305112646594965
